	src	mt	score
304	Since then the curriculum had to undergo several modification and change adapting whatever is prescribed by the Departmant of Education (DepEd).	自那时起,课程必须经过多次修改和修改,以适应教育部(DepEd)所规定的内容。	-7.0
305	Initiated in 2017, this partnership reflects GSM Group's objective of reducing cash transactions within its stores.	该合作伙伴关系始于2017年,反映了GSM集团减少其商店内现金交易的目标。	0.0
306	Mononucleosis is among the best studied, and available studies found that 7-9% had persistent symptoms 12 months after infection, and 4% had serious symptoms after 2 years.	单核病是研究中最好的一种,现有的研究发现,7-9%的患者在感染后12个月有持续的症状,4%的患者在2年后有严重症状。	-6.0
307	"According to the rules of the International Academy, the category is for ""a fictional production (comedy, drama, or sitcom) intended for a young audience""."	根据国际学院的规则,该类别是“为年轻观众设计的虚构作品(喜剧、戏剧或喜剧)”。	-5.0
308	Since then the curriculum had to undergo several modification and change adapting whatever is prescribed by the Departmant of Education (DepEd).	从那时起,课程必须经过几次修改和改变,以适应教育部(DepEd)的规定。	-1.0
309	The album was dubbed the 6th best Brazilian album in 2018 by Rolling Stone Brasil and one of the 25 best Brazilian albums in the first half of 2018 by APCA.	该专辑被《滚石巴西》评为2018年巴西最佳专辑第6名,并被《阿帕卡》评为2018年上半年巴西最佳25张专辑之一。	-6.0
310	In December 2022, The Free Press published information about the Twitter Files after Twitter CEO Elon Musk provided Weiss with access to records of Twitter's internal communications.	2022年12月,《自由报》发布了关于Twitter文件的信息,推特首席执行官埃隆·马斯克(Elon Musk)为威斯提供了访问Twitter内部通讯的记录。	-12.0
311	"Chris Jarvis for Left Foot Forward, however, noted that this ""thesis has been highly contentious, not least because the government of the day has shown itself to be anything but liberal on these issues""."	然而,左脚前进的克里斯·贾维斯(Chris Jarvis)指出,这个“论点非常有争议,不仅仅是因为当天的政府在这些问题上证明了自己除了自由之外的任何东西”。	-16.0
312	Fonseca was a guest on the Twitch channel of the radio station, COPE, in which he dedicated himself to analyzing the most recent Spanish political events.	Fonseca是COPE电台的Twitch频道的嘉宾,他在节目中专门分析西班牙最近的政治事件。	-2.0
313	The game takes place in an alternate history where, one hundred years prior to the present, humanity began developing various superpowers, that were used to both better and hurt society.	游戏发生在一个替代的历史,在那里,一百年前,人类开始发展各种超级大国,它们被用来改善和伤害社会。	-10.0
314	Iza stated that the tour for her second studio album starts with a show at the first edition of The Town festival, on September 10th.	伊莎表示,她的第二张录音室专辑的巡回演唱会开始于9月10日举行的第一届城市音乐节的演出。	-5.0
317	On March 19, the new single 'Marilù' was released and was previewed during the broadcast 'Domenica in' hosted by Mara Venier.	3月19日,新單曲「Marilù」發行,並在馬拉·韋尼耶主持的電視節目「Domenica in」中進行預見。	-10.0
319	[sic]On August 12, 2023, Uzi put up the following message on their Instagram story: GET @lil1dte to 100k followers imma drop the album next week i promise	[sic] 2023年8月12日,乌齐在Instagram上发布了以下消息: @lil1dte 给100k的追随者 imma 下周放弃专辑我保证	-14.0
320	In the recipient male, the molecules strike the antennae, where reception of the pheromones takes place by means of olfactory cells on the olfactory hairs or sensilla.	在接收者男性中,分子攻击了天线,在那里通过香水细胞在香水头发或香水细胞接收。	-25.0
322	"Marçal also point out how the notion that humans are ""rational individuals"" that came to be commonplace within economics and then spread to wider society makes social issues invisible."	马赛尔还指出,人类是“理性个人”的观念,在经济学中成为常见的地方,然后传播到更广泛的社会,使社会问题不可见。	-2.0
323	As industry insiders read and responded to Clark's articles, it led to his first job in the bowling business as Chief Marketing Officer for the United States Bowling Congress (USBC) in 2005.	随着行业内部人士阅读并回应克拉克的文章,这导致他在2005年成为美国球场大会(USBC)首席营销官的球场业务中的第一份工作。	-13.0
324	Sankaranarayanan has contributed to three official book publications of the Supreme Court of India, which includes The Constitution at 67 (2017), Courts of India: Past to Present (2016), and The Restatement of Contempt Law (2011).	Sankaranarayanan曾为印度最高法院的三本官方书籍出版物做出贡献,其中包括《宪法67》(2017年),《印度法院:过去到现在》(2016年)和《争议法修正案》(2011年)。	-5.0
325	He has also raised money for alleged aid projects including orphanages that newspaper Verdens Gang after an investigation found to be non-existent.	他还为据称的援助项目筹集了资金,包括在调查发现不存在的 Verdens Gang 报纸上的孤儿园。	-8.0
326	She won her first Screen Award Marathi and her second Maharashtra State Award for Devrai (2004), in which she played the sister of a man with schizophrenia who is battling to come to terms with his sickness.	她贏得了第一屆馬拉地亞電影獎和第二屆馬哈拉什特拉國家獎(2004年)的德夫拉伊電影獎,她飾演一個患有精神分裂症的男人的妹妹,他正在努力克服他的疾病。	-13.0
327	In the finals, Colorado started early with a goal in the 18th minute by eventual MVP Connor Hutchinson then doubled their advantage right at the end of the first half with a goal from Anthony Smoller in the 40th minute.	在决赛中,科罗拉多以第18分钟的进球开始比赛,最终冠军康纳·哈钦森(Connor Hutchinson)以第40分钟的安東尼·斯莫勒(Anthony Smoller)的进球将他们的优势倍增。	-15.0
328	The Japanese meanwhile put out bounties to encourage the Burmese to turn Darkie in, and begin torching villages suspected of being friendly to the troop.	与此同时,日本向缅甸人施加鼓励,让达尔基进入缅甸,并开始焚烧那些被认为与部队友好的村庄。	-10.0
329	A consortium of six major oil companies (Chevron, Exxon, Mobil, Shell, Texaco and Unocal) established Santa Clara Waste Water to service their internal disposal needs.	六家主要石油公司(谢夫伦、埃克森、莫比尔、壳牌、泰萨科和乌诺卡尔)组成的财团成立了圣克拉拉废水公司,以满足它们的内部处理需要。	-20.0
330	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2008.	这是2008年Billboard Mainstream Top 40(或Pop Airplay)排行榜上的前10首歌曲的列表。	0.0
331	"Marchuk's ""Shevchenkiana"" consists of 42 paintings (out of a hundred planned), which were made in tempera (1983-1984)."	马丘克的“谢夫切尼卡纳”由42幅画作组成(计划中有100幅),这些画作是在1983年至1984年间制作的。	-12.0
333	"Rebecca Silverman rated the volume 2.5 stars out of 5, more critical of the story's lack of tension and stated that the art ""doesn't do a terrific job with complex emotions""."	雷贝卡·西尔夫曼(Rebecca Silverman)评分了5星中的2,5星,更批评了故事缺乏紧张感,并表示艺术“与复杂的情绪做得不太好”。	-7.0
334	His highest-grossing releases came with the comedy-drama Lage Raho Munna Bhai (2006), the drama film My Name Is Khan (2010) and the romantic comedy Tanu Weds Manu: Returns (2015), all of which rank among the highest-grossing Indian films of all time.	他最赚钱的作品包括喜剧剧剧《Lake Raho Munna Bhai》(2006年),戏剧电影《我的名字是汗》(2010年)和浪漫喜剧《Tanu Weds Manu: Returns》(2015年),所有这些都排在了有史以来最赚钱的印度电影中。	-25.0
335	If such data not available by organisers, next sources are International Federation of Football History & Statistics (IFFHS), then the closest relevant source of the figure.	如果这些数据没有由组织者提供,那么接下来的来源是国际足球历史和统计联合会(IFFHS),那么这个数字的最接近的有关来源。	-7.0
336	Differing opinions exist on what type of continuity existed across the entire 2206-year period of Rome's history, as well as when different periods start and what they are called.	不同观点存在于罗马历史的整个2206年期间存在的连续性类型,以及不同时期何时开始,以及它们被称为什么。	-3.0
337	Their business model was based on the idea of economic self-sufficiency made popular by black leaders Booker T. Washington and W.E.B.	他们的商业模式是基于黑人领导人布克·华盛顿和WEB 众所周知的经济自给自足的想法。	-8.0
338	Hannam trialled with League One club Stevenage during pre-season ahead of the 2023–24 season, signing a contract with the club on 14 August 2023.	汉纳姆在2023-24賽季前與史蒂芬奇聯賽(英语:Liga One)進行試賽,並在2023年8月14日與史蒂芬奇簽訂合約。	-11.0
339	These amounted to an amount much higher than the price of the wagons themselves, as the only existing tariff for railway wagons applied to them was the one prescribed for broad-gauge wagons used on the general railways.	这些数量远高于车辆本身的价格,因为唯一适用于铁路车辆的现有关税是一般铁路使用的宽带车辆所规定的关税。	-12.0
340	The studio is being overseen by former Entertainment One executives Olivier Dumont as president, Zev Foreman as head of film, and Gabriel Marano as head of television.	该工作室由前Entertainment One高管Olivier Dumont担任总裁,Zev Foreman担任电影主管,Gabriel Marano担任电视主管。	-4.0
341	The studio is being overseen by former Entertainment One executives Olivier Dumont as president, Zev Foreman as head of film, and Gabriel Marano as head of television.	该工作室由前 Entertainment One 首席执行官 Olivier Dumont 担任总统、Zev Foreman 担任电影首席执行官、Gabriel Marano担任电视首席执行官监督。	-19.0
343	This list is based on that compiled by Glyn Perrin in New Music 88, with corrections and additions from A Pilgrim Soul: Life and Work of Elisabeth Lutyens by Meirion and Susie Harries (1989).	《新音乐88》中,格林·佩林(Glyn Perrin)编写的《巡回灵魂:伊丽莎白·卢特耶斯的一生与作品》(A Pilgrim Soul: Life and Work of Elisabeth Lutyens)由梅里昂和苏西·哈里斯(Susie Harries)编写。	-16.0
344	Therefore, the identity of both species needs revision and possibly a replacement name for the genus needs to be established.	因此,两种物种的身份需要重新审查,可能需要确定种族的替代名称。	-6.0
345	Sasha Johnson, a Black Lives Matter activist who survived being shot in the head in Peckham, London in May 2021	萨莎·约翰逊(Sasha Johnson)是一位在2021年5月在伦敦佩克汉(Peckham)被枪杀的黑人生活问题活动家。	-16.0
346	On 1 April 2022, Theophilus was promoted to flag rank and appointed Deputy Commandant (DepCom) of the Indian Naval Academy, Ezhimala.	2022年4月1日,泰奥菲勒斯被提升至旗帜军衔,并任命为印度海军学院的副指挥官(DepCom)。	-15.0
347	In addition, some stations sell and purchase programs other than TV Tokyo (due to poor maintenance of relay stations, it is very often excluded, so the frequency is small).	此外,一些电台出售和购买电视东京以外的节目(由于电台维修不良,很常被排除,所以频率很小)。	-2.0
348	"""Applications of Deep Learning in e-Commerce,"" Krishnendu Chaudhury, GPU Technology Conference, GTC 2018, March 26–29, 2018, Silicon Valley, California."	"""Applications of Deep Learning in e-Commerce,"" Krishnendu Chaudhury, GPU Technology Conference, GTC 2018, March 26–29, 2018, Silicon Valley, California。"	-5.0
349	Kim set about coordinating a number of attacks on Japanese leaders, including a January 1932 attack in Tokyo that nearly killed Emperor Hirohito.	金正恩计划协调对日本领导人的一系列攻击,其中包括1932年1月在东京发生的袭击,据报道杀害了皇帝希罗希托。	-25.0
350	The termination phase involves the interaction of a radical with an antioxidant molecule, such as α-tocopherol (vitamin E), which inhibits the propagation of chain reactions, thus terminating peroxidation.	終結期包括激進與抗氧化分子的相互作用,如α- tokopherol(維他命E),抑制鏈反應的傳播,從而終結過氧化。	-13.0
351	However, The Sonoma Stompers won the first half with a 23-16 record and the second half with a 24-15 record, naming them the outright champion.	然而,The Sonoma Stompers以23-16的记录赢得了上半场,而第二半则以24-15的记录,称之为右翼冠军。	-16.0
352	I went across the river and saw a friend of mine who kept a place where I had paid in a good many thousands of my hard-earned dollars.	我穿过河边,看见一个朋友保留了一个地方,我在那里付出了我挣得很辛苦的几千美元。	-6.0
354	It is no coincidence that the ancient and numerous family of the Mamilovs (the native Erzians), had an image of an eagle as their coat of arms.	毫无疑问,古老和众多的马米洛夫人(原住民埃尔齐亚人)的家庭,像他们的手套一样,有一个鹰的形象。	-13.0
356	The expansion of the Velasco building and the remodeling of the third level of the shopping center were being designed by the designers Méndez, Brunner & Asociados.	维拉斯科大楼的扩建和购物中心的第三层的改造由孟德斯、布伦纳和阿萨迪瓦多斯设计。	-3.0
357	The Eye was developed from the Trixy G 4-2 R. It features a single main rotor, tricycle landing gear with wheel pants, a tail caster, 2 LED landing lights and 2 LED navigation and strobe lights on the cabin sides, a 152 hp (113 kW) Trixy 912 Ti or Rotax 912ULS engine in pusher configuration, and a pedal actuated main rotor pre-rotator to reduce the takeoff roll.	該眼是由Trixy G 4-2 R開發的,擁有單一主轉輪、三輪式起落 gear 、 尾翼驅動器、2個LED起落燈和2個LED航行燈和兩側的導彈燈、152馬力(113 kW)Trixy 912 Ti或Rotax 912ULS引擎,以及手動主轉輪前轉輪,以減少起飛輪。	-25.0
358	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2013.	此分類上一篇: 2013 年 Billboard Mainstream Top 40 (或 Pop Airplay) 格式上排名第 10 的歌曲列表	-10.0
359	Those who win the challenges will be the VIP members of the hotel and can enjoy all the comforts and luxuries, while those who fail will be the staff members of the hotel and must take care of the chores.	那些赢得挑战的人将是酒店的 VIP 成员,可以享受所有舒适和奢侈品,而那些失败的人将是酒店的工作人员,必须照顾家务。	-6.0
360	"In 1996, Piazzi arranged the charity event called ""Models, Too, Have a Heart"" (""Anche le modelle hanno un cuore""), in collaboration with the Anlaids organization to raise funds for the fight against HIV."	1996年,Piazzi组织了一项名为“模特,也,有心脏”的慈善活动,与Anlaids组织合作,筹集资金用于打击艾滋病毒。	-9.0
361	The 1895 Scottish Athletics Championships were the thirteenth national athletics championships to be held in Scotland.	1895年苏格兰运动锦标赛是苏格兰举行的第十三届国家运动锦标赛。	-10.0
362	He entered Uppsala University in 1672 and, when returning to Uppsala after summer recess for his second year of study, he was shipwrecked off the coast of Gävle, but was saved by holding onto a plank.	1672年,他進入烏普薩拉大學,在暑假休學後返回烏普薩拉,在赫維爾島沖遭海難,但被救出。	-21.0
363	Some architects suggested demolishing the statue of Bohdan Khmelnytsky in front of the Saint Sophia Cathedral and the Cathedral itself.	一些建筑师建议在圣索菲亚主教座堂和主教座堂前面拆除博丹·赫梅尔尼茨基的雕像。	-10.0
364	His father Herman Prioleau Hamilton was president of Hamilton & Company of Chester, an investment bank that sold municipal bonds.	他的父亲赫尔曼·普里奥·汉密尔顿(Herman Prioleau Hamilton)是汉密尔顿和切斯特公司(Hamilton & Company of Chester)的总裁,这是一家销售市债的投资银行。	-1.0
365	The time is unknown, but before she became Oda Nobunaga's concubine, she married Ogura Sanefusa (or Sanezumi or Kataharu), a vassal of Rokkaku Yoshikata, and had sons with him, Jingorō and Matsuchiyo (or Matsuju).	时间不明,但在她成为Oda Nobunaga的女之前,她嫁给了Ogura Sanefusa(或Sanezumi或Kataharu),Rokkaku Yoshikata的领袖,并与他有儿子,Jingorō和Matsuchiyo(或Matsuju)。	-18.0
366	The proposed reforms involved increasing the level of independent scrutiny of Home Office migration policies, and a further promise of reconciliation events with families of the scandal's victims.	提议的改革涉及增加家庭办公室移民政策的独立审查水平,以及与丑闻受害者家庭的和解活动的进一步承诺。	-8.0
367	Since Watkins Glen International is a road course, the qualifying system is a two group system, with two rounds.	由于沃金斯格伦国际是一条路线,资格系统是一个两组系统,有两轮。	-15.0
369	The season prior, Marshall finished 11-4-4 after losing in the third round of the 2022 NCAA Division I men's soccer tournament.Marshall was ranked 11th in the United Soccer Coaches preseason poll and 2nd in the Sun Belt Conference preseason poll.	前赛季,马歇尔在2022 NCAA I 男子足球锦标赛的第三轮失败后完成了11-4-4。马歇尔在联合足球教练预赛中排名第11位,在太阳带会议预赛中排名第2位。	-15.0
370	By 1890 the population had grown to 100, now boasting a school, grocery store, saloon, hotel, and several shops.	到了1890年,人口已增加到100人,现在有学校、杂货店、餐厅、旅馆和几家商店。	-5.0
371	Lewis Raymond Taylor (born 17 May 1990) is an Entrepreneur, Podcaster and Public speaker from Hertfordshire, United Kingdom.	刘易斯·雷蒙德·泰勒(Lewis Raymond Taylor,1990年5月17日出生)是一位来自英国赫特福德郡的企业家、播客和公共演讲者。	0.0
372	Krzysztof Dracz (born 20 September 1961) is a stage, television, film, and voice actor, theatre director, and screenwriter.	Krzysztof Dracz(出生于1961年9月20日)是一位舞台、电视、电影和声音演员、剧院导演和编剧。	-6.0
373	It is said that Chandramukhi's malicious spirit had attempted to take her revenge, and thus was contained in a room on the third floor with help from priests and sorcerers.	据说,钱德拉穆希的恶心企图报复她,因此被囚禁在第三层的一个房间里,得到祭司和巫师的帮助。	-16.0
374	After graduating from the University of Bridgeport, Hassan was offered an opportunity to pursue a PhD at the Massachusetts Institute of Technology.	毕业于布里奇波特大学后,哈桑在马萨诸塞理工学院获得博士学位的机会。	-10.0
375	If such data not available by organisers, next sources are International Federation of Football History & Statistics (IFFHS), then the closest relevant source of the figure.	如果组织者没有这些数据,那么下一个来源是国际足球历史和统计联合会(IFFHS),那么最接近的相关来源是数字。	-11.0
376	Maryland Fried Chicken, Inc. was approached by Georgia businessman J. R. Miller in 1967 with an offer of $100,000 to become the national franchising agent for MFC.	1967年,格鲁吉亚商人J. R. Miller向Maryland Fried Chicken, Inc.提出了10万美元的报价,成为MFC的国家特许经营代理。	-13.0
378	"Shot during the lockdown, ""Space and Time,"" a carefree video with beautifully lush green trees and grass served as the background for the singer's countryside oasis."	在封锁期间拍摄的“空间和时间”,一个带有美丽的绿树和草原的无忧无虑的视频作为歌手乡村绿洲的背景。	-6.0
379	Muhammad Sahlouli (Arabic: محمد صهلولي; born 21 March 2004) is a Saudi Arabian professional footballer who plays as a winger for Saudi Professional League club Al Nassr.	穆罕默德·萨赫洛利(阿拉伯语:穆罕默德·萨赫洛利;2004年3月21日出生)是一名沙特阿拉伯职业足球运动员,为沙特职业联赛俱乐部阿尔纳斯尔(Al Nassr)扮演角色。	-10.0
380	Upon graduation, she was also assigned to work in Architectural Designing and Theoretical Pursuits at China’s Architectural Designing Bureau of North-western Region in Xi’an.	畢業後,她亦被委任到西安西北地區建築設計局(英语:Chinese Architectural Designing Bureau of North-western Region)擔任建築設計及理論研究員。	-6.0
381	Teachers at Creativity Explored assist artists with advice and art supplies on an individual basis; artists rotate through teachers, leaving uncompleted work with each teacher.	创意探险的教师帮助艺术家以个人为基础提供建议和艺术品;艺术家通过教师旋转,与每个教师一起留下未完成的工作。	-21.0
383	The Chlotrudis Award for Best Actress is an annual award presented by the Chlotrudis Society for Independent Films, a non-profit organization, founded in 1994, that recognizes achievements in independent and world cinema.	克罗特鲁迪斯最佳女演员奖(英语:Chlotrudis Award for Best Actress)是1994年成立的独立电影协会(英语:Chlotrudis Society for Independent Films)颁发的年度奖项。	-15.0
384	Samson Lawal (born 25 April 2004) is a Nigerian professional footballer who plays as a midfielder for Livingston.	萨森·拉瓦尔(Samson Lawal,2004年4月25日出生)是一名尼日利亚职业足球运动员,为Livingston担任中场球员。	-5.0
385	Due to a vessel change, on 3 October 2005, Fivla was relegated to the fleet relief vessel, which she still operates as today.	2005年10月3日,因船只更改,菲弗拉被降级为舰队救济船,至今仍在运营。	-5.0
386	The Chlotrudis Award for Best Actress is an annual award presented by the Chlotrudis Society for Independent Films, a non-profit organization, founded in 1994, that recognizes achievements in independent and world cinema.	克洛特鲁迪斯最佳女演员奖(英语:Chlotrudis Award for Best Actress)是克洛特鲁迪斯独立电影协会(英语:Chlotrudis Society for Independent Films)颁发的年度奖项,该协会成立于1994年。	-10.0
387	Nick made his debut for Castres Olympique in Round 2 of the Top 14 on 10 September 2021, starting at number 6 in their win over ASM Clermont Auvergne.	尼克於2021年9月10日首次代表卡斯特斯奧林匹克在第14名賽季的第2輪上陣,以第6名擊敗ASMClermont Auvergne。	-15.0
388	Rama in this temple is also known as Pattabhiramar and is in seated position on a throne with Seethalakshmi Devi.	这个寺庙的拉马也被称为帕塔<unk>马尔,坐在王位上与西塔拉克什米魔鬼。	-25.0
389	Heroes of Tomorrow, is an Extended play by South African rapper professionally known as Frank Casino, it was released by Platoon through Globe Field on 9 November 2018 as the rapper celebrated his birthday by putting out the project, it features guest appearances from Cassper Nyovest, Major League DJz and Skull-E.	明天的英雄,是由南非摇滚演员专业地称为弗兰克赌场的扩展游戏,它于2018年11月9日由柏拉图通过Globe Field发布,因为摇滚演员通过推出该项目庆祝了他的生日,它包含来自Cassper Nyovest,Major League DJz和Skull-E的客人表演。	-25.0
390	After the closure of the coalfields, the stables opposite the old shaft were bought by a private owner before being destroyed by fire.	在煤田关闭后,老井对面的马厩由私人业主购买,然后被火灾摧毁。	-1.0
391	Digging of the shaft began on June 1, 1854, 835 metres from the Saint-Charles shaft, with a section measuring 5.1 metres by 2.5 metres.	1854年6月1日,在圣查尔斯井口的835米处开始挖掘,该井口的截面为5.1米×2.5米。	-10.0
392	They were then tied in Mandalay in September 1915, where they told the judge they had no connection to the rebellion and were only in the Kachin Hills to buy drugs.	1915年9月,他们被绑在曼达莱,告诉法官他们与叛乱无关,只在卡钦山买毒品。	-2.0
393	Her portrayal of a student who is unable to grasp the academic teaching in Final Draft won her much acclaim and even Best Actress Awards at the Sanskruti Kala Darpan Awards, the Maharashtra Times Sanman and two Zee Natya Gaurav Puraskar.	在《最终草稿》中,她描绘了一个无法掌握学术教学的学生,在《三斯克鲁提卡拉达尔潘奖》、《马哈拉什特拉泰晤士报》、《三曼》和两项“泽娜特亚·加劳夫·普拉斯卡尔”中赢得了她巨大的赞誉,甚至获得了最佳女演员奖。	-25.0
394	This is a list of video game soundtracks that multiple publications, such as video game journalism and music journalism publications, have considered to be among the best of all time.	这是一系列电子游戏配音列表,许多出版物,如电子游戏新闻和音乐新闻出版物,都认为是所有时代最好的。	-6.0
395	In December 1960, the company unveiled the H14 TL12, a cheaper variant of the TL12R without trailer brake (which meant it could only be used as a towing tractor and not as an agricultural one).	1960年12月,公司推出了H14 TL12(英语:H14 TL12),一种没有拖架制动的TL12R(英语:TL12R)的更便宜型号,这意味着它只能作为拖拉机而不是农业拖拉机使用。	-9.0
396	Novodarivka (Ukrainian: Новода́рівка; Russian: Новодаровка, romanized: Novodarovka) is a village in southern Ukraine.	诺沃达里夫卡(烏克蘭語:Новода́рівка,俄語:Новодаровка,羅馬化:Novodarovka)是烏克蘭南部的一個村莊。	0.0
397	Kim set about coordinating a number of attacks on Japanese leaders, including a January 1932 attack in Tokyo that nearly killed Emperor Hirohito.	金正日开始协调对日本领导人的一系列袭击,包括1932年1月在东京发生的一次几乎杀死了博仁天皇的袭击。	-7.0
398	The executive committee of the IAWS consists of the officers of the Academy (president, vice-president, secretary, treasurer, and immediate past president), the bulletin editor, and the chair of the board.	IAWS的执行委员会由学院的官员(总统、副总统、秘书、财政官和即时前总统)、报纸编辑和董事会主席组成。	-25.0
399	"He termed this the ""Maine Model"" for how to replicate the successes of major technology hubs without the same kind of educational and financial capital found in those places."	他称之为“主要模型”,以便在这些地方没有相同的教育和财务资本的情况下复制大型技术中心的成功。	-11.0
400	This is a list of songs that reached the top 10 on the Billboard Mainstream Top 40 (or Pop Airplay) chart in 2000.	此分類上一篇: 2000 年 Billboard Mainstream Top 40 (或 Pop Airplay) 格式上排名第 10 的歌曲列表	-15.0
401	Fonseca was a guest on the Twitch channel of the radio station, COPE, in which he dedicated himself to analyzing the most recent Spanish political events.	Fonseca是广播电台COPE的Twitch频道的客人,他致力于分析西班牙最近的政治事件。	-6.0
402	He was born in Manhattan and grew up in the house on 5 East 66th Street (the building is owned by the Lotos Club since 1947).Through his paternal ancestors Bayard Schieffelin was a descendant of John Jay, and through his maternal ancestors he was a member of the Vanderbilt family.	他出生在曼哈顿,长大在5东66街的房子(建筑自1947年以来由洛托斯俱乐部拥有)。通过他的祖先Bayard Schieffelin是John Jay的后裔,通过他的祖先他是Vanderbilt家族的成员。	-19.0
403	He has also worked for the Christian magazine Bladet Evangelisten.In 2022 he started a new Christian television station TV 12 Bedehuskanalen.	他还为基督教杂志Bladet Evangelisten工作。2022年,他开始了一家新基督教电视台电视台12 Bedehuskanalen。	-6.0
404	In early September 2021, the NRL announced that due to border restrictions then in place to mitigate COVID-19, the 2021 season would be postponed to early in the new year.	2021年9月初,NRL宣布,由于当时实施的限制限制,以缓解COVID-19疫情,2021年赛季将推迟到新年初。	-5.0
405	The fossil specimen of the peculiar animal, Cuvier observed, contained nine teeth leading from the last three-pointed molar to the lateral incisors.	库维尔观察到该特有的动物的化石样本包含了9颗牙齿,从最后的3点尖齿到侧切口。	-6.0
406	In December 1960, the company unveiled the H14 TL12, a cheaper variant of the TL12R without trailer brake (which meant it could only be used as a towing tractor and not as an agricultural one).	1960年12月,该公司发布了H14 TL12,没有拖拉机刹车的TL12R的便宜版本(这意味着它只能用作拖拉机,而不是作为农业拖拉机)。	-8.0
407	When Johnny would end up taking his routine trip down to California after this incident, Watson would follow closely behind him – ultimately causing an intense verbal argument between both men.	当约翰尼在这次事件后完成了他的日常旅行到加利福尼亚时,沃森会密切跟随他 - 最终导致两人之间的强烈口头争论。	-8.0
408	It is about the journey of a father and his autistic son to find the latter's favorite soccer team by visiting all 56 teams in their respective stadiums.	这是一个父亲和他的自闭症儿子去寻找他最喜欢的足球队的旅程,通过参观他们的各个球场的所有56支球队。	-5.0
409	He also coached for Grand Valley State, Muskegon High School, Chesaning High School, Montrose High School, Perry High School, Grand Rapids Community College, and Ferris State.	他还为大谷州、马斯凯根高中、切桑宁高中、蒙特罗斯高中、佩里高中、格兰德拉皮德社区学院和费里斯州教练。	-15.0
410	In early September 2021, the NRL announced that due to border restrictions then in place to mitigate COVID-19, the 2021 season would be postponed to early in the new year.	2021年9月初,NRL宣布,由于边界限制,以减轻COVID-19,2021赛季将推迟到新的年初。	-2.0
411	Oleksandr Volodymyrovych Makhov (Ukrainian: Олександр Володимирович Махов, 17 April 1986, Voroshylovhrad – 4 May 2022, Dovhenke, Kharkiv Oblast) is a Ukrainian serviceman, sergeant of the Armed Forces of Ukraine, military journalist, participant of the Russian-Ukrainian war.	奧列克薩德爾·沃洛季米羅維奇·馬霍夫(烏克蘭語: Олександр Володимирович Махов,1986年4月17日-2022年5月4日),烏克蘭軍人、軍事記者、俄羅斯-烏克蘭戰爭的參與者。	-16.0
412	She played shooting guard for the Estonia national 3x3 team.She competed at the 2018 Summer Youth Olympics, 2019 European Games, winning the silver medal, 2019 FIBA 3x3 Europe Cup, and EuroBasket Women 2023 qualification .She played for TalTech.	她在2018年夏季青年奥运会,2019年欧洲运动会,赢得了银牌,2019年FIBA3x3欧洲杯和欧洲篮球女子2023资格。	-20.0
414	Perry moved to California to play with Alphonso Johnson (Weather Report, Santana) after being recommended by Pat Thrall who liked his style of playing, in that band he played with Vinny Appice, who would join Black Sabbath.	佩里搬到加利福尼亚,与阿尔福索·约翰逊(Weather Report, Santana)一起演奏,他被巴特·特拉尔推荐,他喜欢他的演奏风格,在这个乐队里他和布莱克·萨巴特(Black Sabbath)的维尼·阿皮斯一起演奏。	-11.0
415	Later, he received the rights to 900 acres of land in Vlissingen, New Amsterdam, corresponding to today’s College Point and Flushing on Long Island.	后来,他获得了900公顷的土地在新阿姆斯特丹的Vlissingen,相当于今天的学院点和Flushing在长岛的权利。	-25.0
416	Murphy and her colleagues uncovered that the vaccine increased the risk of acute bowel obstruction(intussusception).	墨菲和她的同事发现,该疫苗增加了急性肠道阻塞(肠道感染)的风险。	-6.0
417	The inside of the dome is decorated with Qu'ranic verses that revolve around its neck while the outside of the dome is decorated with blue and green faience.	圆顶的内部装饰着围绕它的颈部旋转的古兰经诗,而圆顶的外部装饰着蓝色和绿色的光彩。	-16.0
418	The Territory's residents, the Muzul Maya, are thought to have been members of a single ch'ibal, 'patronymic lineage,' that is, 'a highly localised group named after their dominant political family.'	该地区的居民,Muzul Maya,被认为是单一的Ch'ibal的成员,即“一个高度定位的团体,以其主导的政治家庭命名。	-17.0
419	"Clementine Churchill, who admired de Gaulle, once cautioned him, ""General, you must not hate your friends more than you hate your enemies."""	克莱门丁·丘吉尔曾经说过:“将军,你不能恨你的朋友比恨你的敌人。	-15.0
421	In 2022, the kids categories were presented at the 50th International Emmy Awards alongside rest of the categories.	2022年,儿童类别在第50届国际奥林匹克奖(英语:International Emmy Awards)上与其他类别一同颁奖。	-5.0
423	She has worked in wholesale trade, as a medical representative and business trainer for pharmaceutical companies.	她曾在批发行业工作,作为制药公司的医疗代表和商业教练。	-1.0
424	The title was first awarded in 2014 to Corinne Semedo Furtado, who previously won the second position at the Miss Luxembourg 2013 pageant, and then was assigned to represent the country at the Miss Grand International 2014 contest in Thailand.	2014年,卡琳娜·塞梅多·弗塔多(英语:Corinne Semedo Furtado)首次获得该奖项,此前她曾在2013年卢森堡小姐大赛中获得第二名,然后被分配代表泰国参加2014年卢森堡小姐国际大赛。	-18.0
